"from","to"
"Berlin,DEU","Paris,FRA"
"Vienna,AUT","Madrid,ESP"
"Rome,ITA","Amsterdam,NLD"
"Lisbon,PRT","Brussels,BEL"
"Stockholm,SWE","Copenhagen,DNK"
"Helsinki,FIN","Oslo,NOR"
"Warsaw,POL","Prague,CZE"
"Budapest,HUN","Athens,GRC"
"Dublin,IRL","Luxembourg,LUX"
"Zurich,CHE","Vienna,AUT"
"Madrid,ESP","Berlin,DEU"
"Paris,FRA","Rome,ITA"
"Amsterdam,NLD","Lisbon,PRT"
"Brussels,BEL","Stockholm,SWE"
"Copenhagen,DNK","Helsinki,FIN"
"Oslo,NOR","Warsaw,POL"
"Prague,CZE","Budapest,HUN"
"Athens,GRC","Dublin,IRL"
"Luxembourg,LUX","Zurich,CHE"
"Berlin,DEU","Vienna,AUT"
"Paris,FRA","Madrid,ESP"
"Rome,ITA","Amsterdam,NLD"
"Lisbon,PRT","Brussels,BEL"
"Stockholm,SWE","Copenhagen,DNK"
"Helsinki,FIN","Oslo,NOR"
"Warsaw,POL","Prague,CZE"
"Budapest,HUN","Athens,GRC"
"Dublin,IRL","Luxembourg,LUX"
"Zurich,CHE","Berlin,DEU"
"Vienna,AUT","Paris,FRA"
"Madrid,ESP","Rome,ITA"
"Amsterdam,NLD","Lisbon,PRT"
"Brussels,BEL","Stockholm,SWE"
"Copenhagen,DNK","Helsinki,FIN"
